subject_id,source_archive,acquisition_group,slice_count,rescale_intercept,slice_thickness,pixel_representation,split
1,Train_Sets,C,96,-1200.0,3.0,0,stress
2,Train_Sets,B,81,-1000.0,3.2,0,train
3,Test_Sets,B,78,-1000.0,3.2,0,train
4,Test_Sets,B,94,-1000.0,3.2,0,validation
5,Train_Sets,B,95,-1000.0,3.2,0,train
6,Train_Sets,C,88,-1200.0,3.0,0,stress
7,Test_Sets,B,108,-1000.0,3.2,0,train
8,Train_Sets,B,123,-1000.0,3.2,0,train
9,Test_Sets,B,97,-1000.0,3.2,0,train
10,Train_Sets,B,110,-1000.0,3.2,0,train
11,Test_Sets,B,83,-1000.0,3.2,0,test
12,Test_Sets,B,104,-1000.0,3.2,0,train
13,Test_Sets,B,89,-1000.0,3.2,0,test
14,Train_Sets,B,95,-1000.0,3.2,0,validation
15,Test_Sets,B,87,-1000.0,3.2,0,train
16,Train_Sets,B,91,-1000.0,3.2,0,train
17,Test_Sets,B,97,-1000.0,3.2,0,validation
18,Train_Sets,B,111,-1000.0,3.2,0,train
19,Train_Sets,B,90,-1000.0,3.2,0,test
20,Test_Sets,B,105,-1000.0,3.2,0,train
21,Train_Sets,A,257,-1024.0,2.0,0,train
22,Train_Sets,B,101,-1000.0,3.2,0,train
23,Train_Sets,A,240,-1024.0,2.0,0,validation
24,Train_Sets,A,123,-1024.0,2.0,0,validation
25,Train_Sets,A,235,-1024.0,2.0,0,test
26,Train_Sets,B,114,-1000.0,3.2,0,train
27,Train_Sets,A,242,-1024.0,2.0,0,train
28,Train_Sets,B,102,-1000.0,3.2,0,train
29,Train_Sets,A,214,-1024.0,2.0,0,test
30,Train_Sets,A,266,-1024.0,2.0,0,train
31,Test_Sets,A,288,-1024.0,2.0,0,train
32,Test_Sets,A,230,-1024.0,2.0,0,test
33,Test_Sets,A,285,-1024.0,2.0,0,train
34,Test_Sets,A,236,-1024.0,2.0,0,validation
35,Test_Sets,A,252,-1024.0,2.0,0,train
36,Test_Sets,A,243,-1024.0,2.0,0,train
37,Test_Sets,A,254,-1024.0,2.0,0,train
38,Test_Sets,A,294,-1024.0,2.0,0,train
39,Test_Sets,D,237,0.0,2.0,1,stress
40,Test_Sets,A,272,-1024.0,2.0,0,train
