subject_id,source,coordinate,slices_with_outlier_here,subject_slices,present_in_every_slice,min_hu,max_hu,always_outside_body
10,Train_Sets,0x0,110,110,True,15658.0,15658.0,True
10,Train_Sets,0x1,110,110,True,49944.0,49944.0,True
13,Test_Sets,0x0,89,89,True,15658.0,15658.0,True
13,Test_Sets,0x1,89,89,True,49944.0,49944.0,True
14,Train_Sets,0x0,95,95,True,15641.0,15658.0,True
14,Train_Sets,0x1,95,95,True,16600.0,49944.0,True
17,Test_Sets,0x0,97,97,True,15658.0,15658.0,True
17,Test_Sets,0x1,97,97,True,49944.0,49944.0,True
19,Train_Sets,0x0,90,90,True,15641.0,15658.0,True
19,Train_Sets,0x1,90,90,True,37456.0,49944.0,True
39,Test_Sets,283x273,1,237,False,4713.0,4713.0,False
39,Test_Sets,283x274,1,237,False,5397.0,5397.0,False
39,Test_Sets,283x275,1,237,False,5305.0,5305.0,False
39,Test_Sets,283x276,1,237,False,5569.0,5569.0,False
39,Test_Sets,283x277,1,237,False,5794.0,5794.0,False
39,Test_Sets,283x278,1,237,False,4268.0,4268.0,False
39,Test_Sets,284x273,1,237,False,5816.0,5816.0,False
39,Test_Sets,284x274,1,237,False,6727.0,6727.0,False
39,Test_Sets,284x275,1,237,False,6525.0,6525.0,False
39,Test_Sets,284x276,1,237,False,6673.0,6673.0,False
39,Test_Sets,284x277,1,237,False,6760.0,6760.0,False
39,Test_Sets,284x278,1,237,False,5029.0,5029.0,False
39,Test_Sets,285x273,1,237,False,4981.0,4981.0,False
39,Test_Sets,285x274,1,237,False,5742.0,5742.0,False
39,Test_Sets,285x275,1,237,False,5600.0,5600.0,False
39,Test_Sets,285x276,1,237,False,5581.0,5581.0,False
39,Test_Sets,287x254,1,237,False,4788.0,4788.0,False
39,Test_Sets,287x255,1,237,False,4388.0,4388.0,False
39,Test_Sets,292x266,1,237,False,4194.0,4194.0,False
39,Test_Sets,292x267,1,237,False,4812.0,4812.0,False
39,Test_Sets,293x267,1,237,False,4880.0,4880.0,False
39,Test_Sets,294x267,1,237,False,4921.0,4921.0,False
39,Test_Sets,295x267,1,237,False,5679.0,5679.0,False
39,Test_Sets,295x268,1,237,False,4524.0,4524.0,False
39,Test_Sets,296x267,1,237,False,4988.0,4988.0,False
39,Test_Sets,296x268,1,237,False,4231.0,4231.0,False
39,Test_Sets,297x267,1,237,False,4485.0,4485.0,False
39,Test_Sets,297x268,1,237,False,4988.0,4988.0,False
39,Test_Sets,298x267,1,237,False,4641.0,4641.0,False
39,Test_Sets,298x268,1,237,False,5579.0,5579.0,False
39,Test_Sets,299x268,1,237,False,4736.0,4736.0,False
39,Test_Sets,300x268,1,237,False,5564.0,5564.0,False
39,Test_Sets,300x269,1,237,False,4305.0,4305.0,False
39,Test_Sets,301x268,1,237,False,5805.0,5805.0,False
39,Test_Sets,301x269,1,237,False,4936.0,4936.0,False
39,Test_Sets,302x268,1,237,False,4436.0,4436.0,False
39,Test_Sets,302x269,2,237,False,4096.0,4392.0,False
39,Test_Sets,303x268,1,237,False,4774.0,4774.0,False
39,Test_Sets,303x269,1,237,False,5735.0,5735.0,False
39,Test_Sets,304x268,1,237,False,4276.0,4276.0,False
39,Test_Sets,304x269,1,237,False,5414.0,5414.0,False
39,Test_Sets,418x244,2,237,False,4007.0,5940.0,False
39,Test_Sets,418x245,2,237,False,4282.0,7722.0,False
39,Test_Sets,418x246,1,237,False,6362.0,6362.0,False
39,Test_Sets,419x244,1,237,False,5535.0,5535.0,False
39,Test_Sets,419x245,2,237,False,4801.0,10318.0,False
39,Test_Sets,419x246,4,237,False,4129.0,9542.0,False
39,Test_Sets,419x247,4,237,False,4620.0,8458.0,False
39,Test_Sets,419x248,2,237,False,6323.0,7502.0,False
39,Test_Sets,420x244,1,237,False,4665.0,4665.0,False
39,Test_Sets,420x245,1,237,False,9481.0,9481.0,False
39,Test_Sets,420x246,3,237,False,4620.0,9791.0,False
39,Test_Sets,420x247,2,237,False,7092.0,8935.0,False
39,Test_Sets,420x248,2,237,False,6752.0,8405.0,False
39,Test_Sets,420x249,1,237,False,5419.0,5419.0,False
39,Test_Sets,421x240,1,237,False,4087.0,4087.0,False
39,Test_Sets,421x241,1,237,False,4015.0,4015.0,False
39,Test_Sets,421x243,1,237,False,4764.0,4764.0,False
39,Test_Sets,421x244,1,237,False,6155.0,6155.0,False
39,Test_Sets,421x245,1,237,False,6640.0,6640.0,False
39,Test_Sets,421x246,1,237,False,4923.0,4923.0,False
39,Test_Sets,421x247,2,237,False,5066.0,6277.0,False
39,Test_Sets,421x248,2,237,False,4765.0,6758.0,False
39,Test_Sets,422x242,1,237,False,4044.0,4044.0,False
39,Test_Sets,422x243,1,237,False,4711.0,4711.0,False
39,Test_Sets,422x245,1,237,False,4522.0,4522.0,False
39,Test_Sets,422x246,1,237,False,4740.0,4740.0,False
39,Test_Sets,423x244,1,237,False,4129.0,4129.0,False
39,Test_Sets,423x245,1,237,False,4425.0,4425.0,False
4,Test_Sets,0x0,94,94,True,15641.0,15658.0,True
4,Test_Sets,0x1,94,94,True,16952.0,49944.0,True
9,Test_Sets,0x0,97,97,True,15641.0,15658.0,True
9,Test_Sets,0x1,97,97,True,19856.0,49944.0,True
