seed,metric,cnn,unet,raw_delta_unet_minus_cnn,oriented_improvement_positive_is_unet
2026,full_mae,0.009353093,0.0091265268,-0.00022656620000000016,0.00022656620000000016
2027,full_mae,0.0093685682,0.0091485836,-0.00021998460000000053,0.00021998460000000053
2028,full_mae,0.0094989326,0.0090998031,-0.00039912949999999954,0.00039912949999999954
2029,full_mae,0.0093912262,0.009136743,-0.00025448320000000073,0.00025448320000000073
2030,full_mae,0.0094054243,0.0091546807,-0.0002507435999999988,0.0002507435999999988
2026,full_mse,0.0003491568,0.0003333357,-1.582109999999999e-05,1.582109999999999e-05
2027,full_mse,0.0003485209,0.0003327396,-1.578129999999997e-05,1.578129999999997e-05
2028,full_mse,0.000356974,0.0003321053,-2.486869999999996e-05,2.486869999999996e-05
2029,full_mse,0.0003501432,0.00033238,-1.7763199999999973e-05,1.7763199999999973e-05
2030,full_mse,0.0003497651,0.0003344819,-1.528320000000001e-05,1.528320000000001e-05
2026,full_psnr,34.6583400642,34.8622517318,0.20391166760000345,0.20391166760000345
2027,full_psnr,34.6668226953,34.8683215526,0.2014988573000025,0.2014988573000025
2028,full_psnr,34.5617244752,34.8769096544,0.3151851792000002,0.3151851792000002
2029,full_psnr,34.6478621194,34.8715849076,0.2237227881999999,0.2237227881999999
2030,full_psnr,34.6520136681,34.8470972809,0.19508361280000486,0.19508361280000486
2026,full_ssim,0.9538602047,0.9551423036,0.0012820988999999727,0.0012820988999999727
2027,full_ssim,0.9538579114,0.9550850522,0.0012271407999999706,0.0012271407999999706
2028,full_ssim,0.9532663461,0.9553326155,0.002066269399999987,0.002066269399999987
2029,full_ssim,0.9535553182,0.9554875273,0.0019322091000000263,0.0019322091000000263
2030,full_ssim,0.953535206,0.9546236915,0.0010884855000000693,0.0010884855000000693
2026,body_mae,0.0199396529,0.0194098684,-0.0005297845000000016,0.0005297845000000016
2027,body_mae,0.0199700106,0.0194230492,-0.0005469614000000005,0.0005469614000000005
2028,body_mae,0.0202643114,0.0194043875,-0.0008599239000000002,0.0008599239000000002
2029,body_mae,0.0200231855,0.0194119661,-0.000611219399999998,0.000611219399999998
2030,body_mae,0.0200520565,0.0194737804,-0.000578276099999997,0.000578276099999997
2026,body_mse,0.0007486449,0.0007143999,-3.424500000000002e-05,3.424500000000002e-05
2027,body_mse,0.0007477433,0.0007132646,-3.4478700000000026e-05,3.4478700000000026e-05
2028,body_mse,0.0007640638,0.0007133292,-5.0734599999999967e-05,5.0734599999999967e-05
2029,body_mse,0.0007510883,0.0007123939,-3.869440000000006e-05,3.869440000000006e-05
2030,body_mse,0.0007510788,0.0007166119,-3.4466900000000014e-05,3.4466900000000014e-05
2026,body_psnr,31.3631071445,31.5750155391,0.21190839460000177,0.21190839460000177
2027,body_psnr,31.3697655441,31.5800460906,0.21028054649999817,0.21028054649999817
2028,body_psnr,31.2742553827,31.5804417285,0.30618634579999693,0.30618634579999693
2029,body_psnr,31.3514540045,31.5835822732,0.23212826870000214,0.23212826870000214
2030,body_psnr,31.3507873113,31.5603198123,0.20953250100000176,0.20953250100000176
2026,body_ssim,0.8970972528,0.8998868359,0.0027895830999999927,0.0027895830999999927
2027,body_ssim,0.8970816281,0.8997630805,0.0026814523999999507,0.0026814523999999507
2028,body_ssim,0.8957820674,0.9002245289,0.00444246150000005,0.00444246150000005
2029,body_ssim,0.8963727936,0.9007175144,0.004344720800000035,0.004344720800000035
2030,body_ssim,0.8962775132,0.8986646154,0.0023871021999999353,0.0023871021999999353
