method,seed,full_mae,full_mse,full_psnr,full_ssim,body_mae,body_mse,body_psnr,body_ssim
cnn,2026,0.009353093,0.0003491568,34.6583400642,0.9538602047,0.0199396529,0.0007486449,31.3631071445,0.8970972528
cnn,2027,0.0093685682,0.0003485209,34.6668226953,0.9538579114,0.0199700106,0.0007477433,31.3697655441,0.8970816281
cnn,2028,0.0094989326,0.000356974,34.5617244752,0.9532663461,0.0202643114,0.0007640638,31.2742553827,0.8957820674
cnn,2029,0.0093912262,0.0003501432,34.6478621194,0.9535553182,0.0200231855,0.0007510883,31.3514540045,0.8963727936
cnn,2030,0.0094054243,0.0003497651,34.6520136681,0.953535206,0.0200520565,0.0007510788,31.3507873113,0.8962775132
unet,2026,0.0091265268,0.0003333357,34.8622517318,0.9551423036,0.0194098684,0.0007143999,31.5750155391,0.8998868359
unet,2027,0.0091485836,0.0003327396,34.8683215526,0.9550850522,0.0194230492,0.0007132646,31.5800460906,0.8997630805
unet,2028,0.0090998031,0.0003321053,34.8769096544,0.9553326155,0.0194043875,0.0007133292,31.5804417285,0.9002245289
unet,2029,0.009136743,0.00033238,34.8715849076,0.9554875273,0.0194119661,0.0007123939,31.5835822732,0.9007175144
unet,2030,0.0091546807,0.0003344819,34.8470972809,0.9546236915,0.0194737804,0.0007166119,31.5603198123,0.8986646154
