epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.016141266368616087,0.01225670626158288,0.012191624520609607,0.001,True,True
2,0.012389559005028927,0.01059377124867783,0.01051030639969444,0.001,True,True
3,0.01161860297792233,0.010257990347244995,0.010165333979378986,0.001,True,True
4,0.011433523922012403,0.01017397759493689,0.010080906146832104,0.001,True,True
5,0.011263693754489604,0.010030557699310086,0.009932360680784378,0.001,True,True
6,0.011202360761280243,0.010120073289922909,0.010023808304620328,0.001,True,False
7,0.01114346283989457,0.009903171885982958,0.009800032117946,0.001,True,True
8,0.011143816377107913,0.010234306722198716,0.010135592789636494,0.001,True,False
9,0.011050629472503294,0.009776249164290679,0.00967667588416887,0.001,True,True
10,0.010976864110964995,0.009901264240451188,0.009796270559736564,0.001,True,False
11,0.010964469310755913,0.00969053920187688,0.009587519987365284,0.001,True,True
12,0.010908306311242856,0.009890071997878799,0.009788596053939249,0.001,True,False
13,0.010876555712177204,0.009631201645311156,0.00952802843251134,0.001,True,True
14,0.01085184129814689,0.009805839675312528,0.009700595550660022,0.001,True,False
15,0.01081030316507587,0.009622563411979299,0.009515217462249394,0.001,True,True
16,0.010803237206374224,0.009744290898988131,0.009640460319838113,0.001,True,False
17,0.010749546266519106,0.009570205681027311,0.009464259578788516,0.001,True,True
18,0.010742661378418023,0.009745206464447036,0.009639019928977819,0.001,True,False
19,0.010706027812109544,0.009526252137543998,0.009419992086240801,0.001,True,True
20,0.01069438630858293,0.009661406080341951,0.009559076125233691,0.001,True,False
21,0.010687874916654367,0.009468972418322672,0.009368403884713765,0.001,True,True
22,0.0106329736013252,0.009631195546009724,0.009533474874803743,0.001,True,False
23,0.010621300848344197,0.009445294236433694,0.009339542519090707,0.001,True,True
24,0.010627319620778928,0.009617855344688425,0.009514426770435888,0.001,True,False
25,0.01060133078493751,0.009389755445048146,0.009288993121077449,0.001,True,True
26,0.010578811448067427,0.009618096767881447,0.009521928165465762,0.001,True,False
27,0.010542372442208804,0.009371450744199155,0.009269142963813018,0.001,True,True
28,0.010554629435332922,0.009460327445467475,0.00935789483867712,0.001,True,False
29,0.010537960731352752,0.009353086515210572,0.009251938873933533,0.001,True,True
30,0.010529052946143425,0.009532690047298863,0.009433037599306658,0.001,True,False
