epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.013991478458046913,0.010675297281102024,0.010578224355996833,0.001,True,True
2,0.011722147214011503,0.010392691990323102,0.010294373675465247,0.001,True,True
3,0.011295404829657995,0.010168496007152326,0.010075863775939255,0.001,True,True
4,0.01105572054019341,0.00990644810557033,0.009813615894418651,0.001,True,True
5,0.010907757189124822,0.009858668812575614,0.009760102431295114,0.001,True,True
6,0.010807912366894575,0.009632860568443707,0.009534993884548293,0.001,True,True
7,0.010761327146051021,0.009727697407416058,0.009628967246261694,0.001,True,False
8,0.010676586957505117,0.009551628412665011,0.009448167159732452,0.001,True,True
9,0.010639615901387655,0.009504756522491923,0.009403751133862189,0.001,True,True
10,0.01058516505245979,0.009442491209364703,0.009341327949179768,0.001,True,True
11,0.010558713435267026,0.00953656740483516,0.009434602624805128,0.001,True,False
12,0.010513790424626607,0.009526550625533202,0.009425647035346362,0.001,True,False
13,0.010502233728766441,0.009304624476374547,0.0092061264898186,0.001,True,True
14,0.01045909461636956,0.009306003462961903,0.009204280966271957,0.001,True,False
15,0.010461688163475348,0.009263650423188401,0.009161588936349599,0.001,True,True
16,0.010428529870338165,0.00928394127952203,0.009179637938906244,0.001,True,False
17,0.010448079649358987,0.009525651445823137,0.00942394948054084,0.001,True,False
18,0.010447300196840212,0.00932162811320751,0.009222068194047374,0.001,True,False
19,0.010408844712835092,0.009367613054356485,0.0092636915523622,0.001,True,False
20,0.010379353652779873,0.009393654190758294,0.00929336252827513,0.001,True,False
21,0.010349885059090761,0.009203437143483094,0.009100854339467435,0.001,True,True
22,0.010313866273141825,0.009187596870650462,0.009088285786157611,0.001,True,True
23,0.010306958968822773,0.009216300322857309,0.009108516169806659,0.001,True,False
24,0.010324303433299065,0.00930276811737143,0.009198099617862096,0.001,True,False
25,0.010303072788967535,0.009295140136777966,0.00919312483731047,0.001,True,False
26,0.010300913854287221,0.009282774590218422,0.00917726195191091,0.001,True,False
27,0.010323797481564374,0.009329997258573136,0.009222558375426942,0.001,True,False
28,0.01040744804419004,0.009326951565558893,0.009218235938457277,0.001,True,False
29,0.010367382489717924,0.009183008111468433,0.009081857534662141,0.001,True,True
30,0.010215434374717565,0.009148535961967852,0.009042427619382487,0.001,True,True
